mandi_pair,distance_km,fuel_needed_4kmpl,fuel_cost_95,toll,maintenance,hamali,crates_120piece_150perpiece,Kanta_300_per_mandi,Bhatta,Total expense,average_per_km,,
From Maharashtra-Jalgaon-Jalgaon APMC to Maharashtra-Amarawati-Amrawati(Frui & Veg. Market) APMC,220,55,5225,1100,660,1600,18000,600,420,27605,125.4772727,,
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Maharashtra-Pune-Junnar(Narayangaon) APMC,720,180,17100,3600,2160,1600,18000,600,920,43980,61.08333333,,
From Maharashtra-Jalgaon-Jalgaon APMC to Maharashtra-Kolhapur-Kolhapur APMC,580,145,13775,2900,1740,1600,18000,600,780,39395,67.92241379,,
From Maharashtra-Sholapur-Solapur APMC to Karnataka-Kolar-Chintamani APMC,630,157.5,14962.5,3150,1890,1600,18000,600,830,41032.5,65.13095238,,
From Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC to Haryana-Hissar-Hissar APMC,950,237.5,22562.5,4750,2850,1600,18000,600,1150,51512.5,54.22368421,,
From Karnataka-Bangalore-Ramanagara APMC to Haryana-Hissar-Hissar APMC,2450,612.5,58187.5,12250,7350,1600,18000,600,2650,100637.5,41.07653061,,
From Uttar Pradesh-Auraiya-Auraiya APMC to Uttar Pradesh-Barabanki-Safdarganj APMC,230,57.5,5462.5,1150,690,1600,18000,600,430,27932.5,121.4456522,,
From Maharashtra-Ahmednagar-Sangamner APMC to Maharashtra-Kolhapur-Kolhapur APMC,380,95,9025,1900,1140,1600,18000,600,580,32845,86.43421053,,
From Maharashtra-Chandrapur-Chandrapur(Ganjwad) APMC to Maharashtra-Ahmednagar-Ahmednagar APMC,650,162.5,15437.5,3250,1950,1600,18000,600,850,41687.5,64.13461538,,
From Haryana-Faridabad-Ballabhgarh APMC to NCT of Delhi-Delhi-Azadpur APMC,55,13.75,1306.25,275,165,1600,18000,600,255,22201.25,403.6590909,,
From Gujarat-Ahmedabad-Ahmedabad APMC to Gujarat-Vadodara(Baroda)-Padra APMC,115,28.75,2731.25,575,345,1600,18000,600,315,24166.25,210.1413043,,
From Karnataka-Shimoga-Shimoga APMC to Haryana-Hissar-Hissar APMC,2450,612.5,58187.5,12250,7350,1600,18000,600,2650,100637.5,41.07653061,,
From Karnataka-Kolar-Chintamani APMC to Madhya Pradesh-Indore-Indore(F&V) APMC,1250,312.5,29687.5,6250,3750,1600,18000,600,1450,61337.5,49.07,,
From Uttar Pradesh-Kannuj-Kannauj APMC to Uttar Pradesh-Basti-Basti APMC,330,82.5,7837.5,1650,990,1600,18000,600,530,31207.5,94.56818182,,
From Gujarat-Morbi-Morbi APMC to Haryana-Kaithal-Kaithal APMC,1150,287.5,27312.5,5750,3450,1600,18000,600,1350,58062.5,50.48913043,,
From Rajasthan-Sikar-Sikar APMC to Gujarat-Navsari-Bilimora APMC,1020,255,24225,5100,3060,1600,18000,600,1220,53805,52.75,,
From Maharashtra-Chattrapati Sambhajinagar-Chattrapati Sambhajinagar APMC to Maharashtra-Pune-Pune APMC,245,61.25,5818.75,1225,735,1600,18000,600,445,28423.75,116.0153061,,
From Uttar Pradesh-Sonbhadra-Robertsganj APMC to Uttar Pradesh-Pratapgarh-Pratapgarh APMC,180,45,4275,900,540,1600,18000,600,380,26295,146.0833333,,
From Karnataka-Kolar-Kolar APMC to Madhya Pradesh-Indore-Indore(F&V) APMC,1250,312.5,29687.5,6250,3750,1600,18000,600,1450,61337.5,49.07,,
From Rajasthan-Udaipur-Udaipur (F&V) APMC to Gujarat-Bharuch-Ankleshwar APMC,420,105,9975,2100,1260,1600,18000,600,620,34155,81.32142857,,
From Punjab-Ludhiana-Ludhiana APMC to Gujarat-Surat-Surat APMC,1350,337.5,32062.5,6750,4050,1600,18000,600,1550,64612.5,47.86111111,,
From Gujarat-Morbi-Morbi APMC to Andhra Pradesh-Chittor-Punganur APMC,1650,412.5,39187.5,8250,4950,1600,18000,600,1850,74437.5,45.11363636,,
From Gujarat-Rajkot-Rajkot(Veg.Sub Yard) APMC to Gujarat-Navsari-Bilimora APMC,480,120,11400,2400,1440,1600,18000,600,680,36120,75.25,,
From Maharashtra-Jalgaon-Jalgaon APMC to Maharashtra-Nashik-Pimpalgaon APMC,210,52.5,4987.5,1050,630,1600,18000,600,410,27277.5,129.8928571,,
From Maharashtra-Chandrapur-Chandrapur(Ganjwad) APMC to Maharashtra-Jalgaon-Jalgaon APMC,450,112.5,10687.5,2250,1350,1600,18000,600,650,35137.5,78.08333333,,
From Gujarat-Rajkot-Rajkot(Veg.Sub Yard) APMC to Gujarat-Gir Somnath-Talalagir APMC,170,42.5,4037.5,850,510,1600,18000,600,370,25967.5,152.75,,
From Andhra Pradesh-Chittor-Punganur APMC to Uttar Pradesh-Bulandshahar-Buland Shahr APMC,2150,537.5,51062.5,10750,6450,1600,18000,600,2350,90812.5,42.23837209,,
From Maharashtra-Sholapur-Solapur APMC to Gujarat-Bharuch-Bharuch APMC,650,162.5,15437.5,3250,1950,1600,18000,600,850,41687.5,64.13461538,,
From Maharashtra-Nagpur-Nagpur APMC to Karnataka-Chamrajnagar-Gundlupet APMC,1300,325,30875,6500,3900,1600,18000,600,1500,62975,48.44230769,,
From Karnataka-Kolar-Mulabagilu APMC to Madhya Pradesh-Indore-Indore(F&V) APMC,1250,312.5,29687.5,6250,3750,1600,18000,600,1450,61337.5,49.07,,
From Karnataka-Kalburgi-Kalburgi APMC to Maharashtra-Pune-Pune APMC,450,112.5,10687.5,2250,1350,1600,18000,600,650,35137.5,78.08333333,,
From Uttar Pradesh-Raebarelli-Raibareilly APMC to Uttar Pradesh-Barabanki-Barabanki APMC,115,28.75,2731.25,575,345,1600,18000,600,315,24166.25,210.1413043,,
From Gujarat-Ahmedabad-Ahmedabad APMC to Gujarat-Navsari-Bilimora APMC,310,77.5,7362.5,1550,930,1600,18000,600,510,30552.5,98.55645161,,
From Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC to Maharashtra-Satara-Satara APMC,750,187.5,17812.5,3750,2250,1600,18000,600,950,44962.5,59.95,,
From Maharashtra-Nashik-Pimpalgaon APMC to Haryana-Panipat-Panipat APMC,1420,355,33725,7100,4260,1600,18000,600,1620,66905,47.11619718,,
From Maharashtra-Sholapur-Solapur APMC to Maharashtra-Satara-Phaltan APMC,170,42.5,4037.5,850,510,1600,18000,600,370,25967.5,152.75,,
From Uttar Pradesh-Auraiya-Auraiya APMC to Uttar Pradesh-Gorakhpur-Gorakhpur APMC,450,112.5,10687.5,2250,1350,1600,18000,600,650,35137.5,78.08333333,,
From Maharashtra-Nagpur-Hingna APMC to Gujarat-Dahod-Dahod(Veg. Market) APMC,720,180,17100,3600,2160,1600,18000,600,920,43980,61.08333333,,
From Maharashtra-Nashik-Pimpalgaon APMC to Maharashtra-Pune-Khed(Chakan) APMC,170,42.5,4037.5,850,510,1600,18000,600,370,25967.5,152.75,,
From Andhra Pradesh-Chittor-Madanapalli APMC to Haryana-Kaithal-Kaithal APMC,2250,562.5,53437.5,11250,6750,1600,18000,600,2450,94087.5,41.81666667,,
From Maharashtra-Chattrapati Sambhajinagar-Chattrapati Sambhajinagar APMC to Maharashtra-Satara-Phaltan APMC,280,70,6650,1400,840,1600,18000,600,480,29570,105.6071429,,
From Gujarat-Bharuch-Ankleshwar APMC to Haryana-Rewari-Rewari APMC,950,237.5,22562.5,4750,2850,1600,18000,600,1150,51512.5,54.22368421,,
From Andhra Pradesh-Annamayya-Valmikipuram APMC to Haryana-Hissar-Hansi APMC,2200,550,52250,11000,6600,1600,18000,600,2400,92450,42.02272727,,
From Maharashtra-Nashik-Pimpalgaon APMC to Maharashtra-Pune-Pune APMC,210,52.5,4987.5,1050,630,1600,18000,600,410,27277.5,129.8928571,,
From Karnataka-Kolar-Kolar APMC to Maharashtra-Satara-Phaltan APMC,750,187.5,17812.5,3750,2250,1600,18000,600,950,44962.5,59.95,,
From Haryana-Rewari-Rewari APMC to Punjab-Ludhiana-Khanna APMC,340,85,8075,1700,1020,1600,18000,600,540,31535,92.75,,
From Karnataka-Kolar-Kolar APMC to Maharashtra-Amarawati-Amrawati(Frui & Veg. Market) APMC,1150,287.5,27312.5,5750,3450,1600,18000,600,1350,58062.5,50.48913043,,
From Punjab-Bhatinda-Bathinda APMC to Rajasthan-Ganganagar-Sriganganagar (F&V) APMC,130,32.5,3087.5,650,390,1600,18000,600,330,24657.5,189.6730769,,
From Karnataka-Kalburgi-Kalburgi APMC to Maharashtra-Pune-Khed(Chakan) APMC,480,120,11400,2400,1440,1600,18000,600,680,36120,75.25,,
From Maharashtra-Chattrapati Sambhajinagar-Chattrapati Sambhajinagar APMC to Maharashtra-Nashik-Pimpalgaon APMC,160,40,3800,800,480,1600,18000,600,360,25640,160.25,,
From Maharashtra-Nashik-Nasik APMC to Karnataka-Kalburgi-Kalburgi APMC,520,130,12350,2600,1560,1600,18000,600,720,37430,71.98076923,,
From Karnataka-Kolar-Kolar APMC to Maharashtra-Nashik-Pimpalgaon APMC,1050,262.5,24937.5,5250,3150,1600,18000,600,1250,54787.5,52.17857143,,
From Maharashtra-Jalgaon-Jalgaon APMC to Karnataka-Shimoga-Shimoga APMC,1150,287.5,27312.5,5750,3450,1600,18000,600,1350,58062.5,50.48913043,,
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC,320,80,7600,1600,960,1600,18000,600,520,30880,96.5,,
From Gujarat-Rajkot-Rajkot(Veg.Sub Yard) APMC to Haryana-Faridabad-Ballabhgarh APMC,1150,287.5,27312.5,5750,3450,1600,18000,600,1350,58062.5,50.48913043,,
From Karnataka-Bangalore-Ramanagara APMC to Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC,1650,412.5,39187.5,8250,4950,1600,18000,600,1850,74437.5,45.11363636,,
From Gujarat-Navsari-Navsari APMC to Punjab-Pathankot-Pathankot APMC,1650,412.5,39187.5,8250,4950,1600,18000,600,1850,74437.5,45.11363636,,
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Gujarat-Dahod-Dahod(Veg. Market) APMC,450,112.5,10687.5,2250,1350,1600,18000,600,650,35137.5,78.08333333,,
From Maharashtra-Ahmednagar-Sangamner APMC to Karnataka-Kalburgi-Kalburgi APMC,480,120,11400,2400,1440,1600,18000,600,680,36120,75.25,,
From Haryana-Gurgaon-Gurgaon APMC to Rajasthan-Udaipur-Udaipur (F&V) APMC,620,155,14725,3100,1860,1600,18000,600,820,40705,65.65322581,,
From Uttar Pradesh-Auraiya-Auraiya APMC to Uttar Pradesh-Pratapgarh-Pratapgarh APMC,280,70,6650,1400,840,1600,18000,600,480,29570,105.6071429,,
From Punjab-Ludhiana-Ludhiana APMC to Gujarat-Gir Somnath-Talalagir APMC,1650,412.5,39187.5,8250,4950,1600,18000,600,1850,74437.5,45.11363636,,
From Karnataka-Kolar-Mulabagilu APMC to Maharashtra-Nashik-Pimpalgaon APMC,1050,262.5,24937.5,5250,3150,1600,18000,600,1250,54787.5,52.17857143,,
From Uttar Pradesh-Kannuj-Kannauj APMC to Uttar Pradesh-Azamgarh-Azamgarh APMC,380,95,9025,1900,1140,1600,18000,600,580,32845,86.43421053,,
From Maharashtra-Nashik-Nasik APMC to Karnataka-Mandya-K.R. Pet APMC,1050,262.5,24937.5,5250,3150,1600,18000,600,1250,54787.5,52.17857143,,
From NCT of Delhi-Delhi-Keshopur APMC to Haryana-Kaithal-Kaithal APMC,180,45,4275,900,540,1600,18000,600,380,26295,146.0833333,,
From Gujarat-Navsari-Bilimora APMC to Haryana-Jhajar-Bahadurgarh APMC,1150,287.5,27312.5,5750,3450,1600,18000,600,1350,58062.5,50.48913043,,
From Haryana-Panipat-Panipat APMC to Karnataka-Kolar-Chickkaballapura APMC,2450,612.5,58187.5,12250,7350,1600,18000,600,2650,100637.5,41.07653061,,
From Karnataka-Kolar-Kolar APMC to Haryana-Panipat-Panipat APMC,2350,587.5,55812.5,11750,7050,1600,18000,600,2550,97362.5,41.43085106,,
From Maharashtra-Nashik-Pimpalgaon APMC to Maharashtra-Amarawati-Amrawati(Frui & Veg. Market) APMC,480,120,11400,2400,1440,1600,18000,600,680,36120,75.25,,
From Maharashtra-Sholapur-Solapur APMC to Karnataka-Kolar-Kolar APMC,620,155,14725,3100,1860,1600,18000,600,820,40705,65.65322581,,
From Madhya Pradesh-Indore-Indore(F&V) APMC to Haryana-Hissar-Hissar APMC,920,230,21850,4600,2760,1600,18000,600,1120,50530,54.92391304,,
From Rajasthan-Udaipur-Udaipur (F&V) APMC to Karnataka-Chikmagalur-Kadur APMC,2200,550,52250,11000,6600,1600,18000,600,2400,92450,42.02272727,,
From Karnataka-Kolar-Mulabagilu APMC to Maharashtra-Satara-Phaltan APMC,780,195,18525,3900,2340,1600,18000,600,980,45945,58.90384615,,
"From Haryana-Faridabad-New Grain Market , Faridabad APMC to Gujarat-Navsari-Navsari APMC",1150,287.5,27312.5,5750,3450,1600,18000,600,1350,58062.5,50.48913043,,
From Karnataka-Kolar-Kolar APMC to Maharashtra-Pune-Pune APMC,850,212.5,20187.5,4250,2550,1600,18000,600,1050,48237.5,56.75,,
From Gujarat-Morbi-Morbi APMC to Uttar Pradesh-Ghaziabad-Noida APMC,1150,287.5,27312.5,5750,3450,1600,18000,600,1350,58062.5,50.48913043,,
From Uttar Pradesh-Kannuj-Kannauj APMC to Uttar Pradesh-Barabanki-Barabanki APMC,165,41.25,3918.75,825,495,1600,18000,600,365,25803.75,156.3863636,,
From Karnataka-Kalburgi-Kalburgi APMC to Madhya Pradesh-Indore-Indore(F&V) APMC,850,212.5,20187.5,4250,2550,1600,18000,600,1050,48237.5,56.75,,
From Maharashtra-Nashik-Pimpalgaon APMC to Madhya Pradesh-Indore-Indore(F&V) APMC,410,102.5,9737.5,2050,1230,1600,18000,600,610,33827.5,82.50609756,,
"From Gujarat-Anand-Anand(Veg,Yard,Anand) APMC to Gujarat-Bharuch-Ankleshwar APMC",120,30,2850,600,360,1600,18000,600,320,24330,202.75,,
From NCT of Delhi-Delhi-Azadpur APMC to Haryana-Sirsa-Sirsa APMC,260,65,6175,1300,780,1600,18000,600,460,28915,111.2115385,,
From Gujarat-Ahmedabad-Ahmedabad APMC to Haryana-Faridabad-Ballabhgarh APMC,950,237.5,22562.5,4750,2850,1600,18000,600,1150,51512.5,54.22368421,,
From Maharashtra-Nashik-Nasik APMC to Karnataka-Shimoga-Shimoga APMC,1020,255,24225,5100,3060,1600,18000,600,1220,53805,52.75,,
From Karnataka-Bangalore-Ramanagara APMC to Maharashtra-Pune-Pune(Moshi) APMC,880,220,20900,4400,2640,1600,18000,600,1080,49220,55.93181818,,
From Uttar Pradesh-Banda-Banda APMC to Haryana-Faridabad-Ballabhgarh APMC,520,130,12350,2600,1560,1600,18000,600,720,37430,71.98076923,,
From Punjab-Ludhiana-Khanna APMC to Haryana-Bhiwani-Ch. Dadri APMC,280,70,6650,1400,840,1600,18000,600,480,29570,105.6071429,,
From Karnataka-Kolar-Chintamani APMC to Maharashtra-Ahmednagar-Ahmednagar APMC,950,237.5,22562.5,4750,2850,1600,18000,600,1150,51512.5,54.22368421,,
From Maharashtra-Ahmednagar-Sangamner APMC to Madhya Pradesh-Indore-Indore(F&V) APMC,420,105,9975,2100,1260,1600,18000,600,620,34155,81.32142857,,
"From Gujarat-Bharuch-Ankleshwar APMC to Haryana-Faridabad-New Grain Market , Faridabad APMC",950,237.5,22562.5,4750,2850,1600,18000,600,1150,51512.5,54.22368421,,
From Haryana-Gurgaon-Gurgaon APMC to Gujarat-Bharuch-Ankleshwar APMC,980,245,23275,4900,2940,1600,18000,600,1180,52495,53.56632653,,
From Rajasthan-Jodhpur-Jodhpur (F&V) APMC to Punjab-Pathankot-Pathankot APMC,880,220,20900,4400,2640,1600,18000,600,1080,49220,55.93181818,,
From Maharashtra-Nashik-Pimpalgaon APMC to Gujarat-Bharuch-Bharuch APMC,260,65,6175,1300,780,1600,18000,600,460,28915,111.2115385,,
From Maharashtra-Nagpur-Nagpur APMC to Maharashtra-Pune-Junnar(Narayangaon) APMC,820,205,19475,4100,2460,1600,18000,600,1020,47255,57.62804878,,
From Maharashtra-Nagpur-Nagpur APMC to Haryana-Hissar-Hissar APMC,1450,362.5,34437.5,7250,4350,1600,18000,600,1650,67887.5,46.81896552,,
From Maharashtra-Ahmednagar-Sangamner APMC to Maharashtra-Satara-Phaltan APMC,180,45,4275,900,540,1600,18000,600,380,26295,146.0833333,,
From Karnataka-Kolar-Kolar APMC to Gujarat-Bharuch-Bharuch APMC,1250,312.5,29687.5,6250,3750,1600,18000,600,1450,61337.5,49.07,,
From Karnataka-Kolar-Chickkaballapura APMC to Maharashtra-Nagpur-Nagpur APMC,1050,262.5,24937.5,5250,3150,1600,18000,600,1250,54787.5,52.17857143,,
From Haryana-Panipat-Panipat APMC to Madhya Pradesh-Indore-Indore(F&V) APMC,920,230,21850,4600,2760,1600,18000,600,1120,50530,54.92391304,,
From Punjab-Ludhiana-Ludhiana APMC to Uttar Pradesh-Mathura-Kosikalan APMC,450,112.5,10687.5,2250,1350,1600,18000,600,650,35137.5,78.08333333,,
From Maharashtra-Amarawati-Amrawati(Frui & Veg. Market) APMC to Maharashtra-Kolhapur-Kolhapur APMC,750,187.5,17812.5,3750,2250,1600,18000,600,950,44962.5,59.95,,
From Haryana-Sonipat-Gohana APMC to Gujarat-Navsari-Navsari APMC,1250,312.5,29687.5,6250,3750,1600,18000,600,1450,61337.5,49.07,,
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Maharashtra-Satara-Satara APMC,880,220,20900,4400,2640,1600,18000,600,1080,49220,55.93181818,,
From Maharashtra-Jalgaon-Jalgaon APMC to Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC,680,170,16150,3400,2040,1600,18000,600,880,42670,62.75,,
From Maharashtra-Pune-Pune APMC to Maharashtra-Satara-Satara APMC,115,28.75,2731.25,575,345,1600,18000,600,315,24166.25,210.1413043,,
From Uttar Pradesh-Barabanki-Safdarganj APMC to Gujarat-Navsari-Bilimora APMC,1450,362.5,34437.5,7250,4350,1600,18000,600,1650,67887.5,46.81896552,,
From Karnataka-Kolar-Kolar APMC to Maharashtra-Kolhapur-Kolhapur APMC,750,187.5,17812.5,3750,2250,1600,18000,600,950,44962.5,59.95,,
From Uttar Pradesh-Raebarelli-Raibareilly APMC to Uttar Pradesh-Prayagraj-Jasra APMC,140,35,3325,700,420,1600,18000,600,340,24985,178.4642857,,
From Andhra Pradesh-Chittor-Punganur APMC to Rajasthan-Bhilwara-Bhilwara APMC,1950,487.5,46312.5,9750,5850,1600,18000,600,2150,84262.5,43.21153846,,
From Maharashtra-Sholapur-Solapur APMC to Karnataka-Shimoga-Shimoga APMC,480,120,11400,2400,1440,1600,18000,600,680,36120,75.25,,
From Andhra Pradesh-Annamayya-Valmikipuram APMC to Haryana-Faridabad-Ballabhgarh APMC,2150,537.5,51062.5,10750,6450,1600,18000,600,2350,90812.5,42.23837209,,
From Maharashtra-Mumbai-Mumbai APMC to Maharashtra-Pune-Pune(Manjri) APMC,160,40,3800,800,480,1600,18000,600,360,25640,160.25,,
From NCT of Delhi-Delhi-Keshopur APMC to Haryana-Sirsa-Sirsa APMC,250,62.5,5937.5,1250,750,1600,18000,600,450,28587.5,114.35,,
From Maharashtra-Nashik-Pimpalgaon APMC to Karnataka-Shimoga-Shimoga APMC,1050,262.5,24937.5,5250,3150,1600,18000,600,1250,54787.5,52.17857143,,
From Punjab-Patiala-Patran APMC to Punjab-Pathankot-Pathankot APMC,320,80,7600,1600,960,1600,18000,600,520,30880,96.5,,
From Maharashtra-Ahmednagar-Sangamner APMC to Karnataka-Mandya-K.R. Pet APMC,950,237.5,22562.5,4750,2850,1600,18000,600,1150,51512.5,54.22368421,,
From Gujarat-Surat-Surat APMC to Gujarat-Gir Somnath-Talalagir APMC,450,112.5,10687.5,2250,1350,1600,18000,600,650,35137.5,78.08333333,,
From Maharashtra-Pune-Junnar(Narayangaon) APMC to Haryana-Hissar-Hissar APMC,1450,362.5,34437.5,7250,4350,1600,18000,600,1650,67887.5,46.81896552,,
From Haryana-Panipat-Panipat APMC to Maharashtra-Pune-Khed(Chakan) APMC,1450,362.5,34437.5,7250,4350,1600,18000,600,1650,67887.5,46.81896552,,
From NCT of Delhi-Delhi-Azadpur APMC to NCT of Delhi-Delhi-Keshopur APMC,15,3.75,356.25,75,45,1600,18000,600,215,20891.25,1392.75,,
From Haryana-Panipat-Panipat APMC to Maharashtra-Pune-Pune APMC,1450,362.5,34437.5,7250,4350,1600,18000,600,1650,67887.5,46.81896552,,
From Madhya Pradesh-Indore-Indore(F&V) APMC to Maharashtra-Satara-Satara APMC,720,180,17100,3600,2160,1600,18000,600,920,43980,61.08333333,,
From Maharashtra-Chattrapati Sambhajinagar-Chattrapati Sambhajinagar APMC to Haryana-Panipat-Panipat APMC,1350,337.5,32062.5,6750,4050,1600,18000,600,1550,64612.5,47.86111111,,
From Andhra Pradesh-Chittor-Kalikiri APMC to Haryana-Hissar-Hansi APMC,2200,550,52250,11000,6600,1600,18000,600,2400,92450,42.02272727,,
From Andhra Pradesh-Chittor-Madanapalli APMC to NCT of Delhi-Delhi-Keshopur APMC,2150,537.5,51062.5,10750,6450,1600,18000,600,2350,90812.5,42.23837209,,
From Uttar Pradesh-Raebarelli-Raibareilly APMC to Uttar Pradesh-Chandauli-Chandoli APMC,300,75,7125,1500,900,1600,18000,600,500,30225,100.75,,
From Maharashtra-Nashik-Pimpalgaon APMC to Maharashtra-Chattrapati Sambhajinagar-Chattrapati Sambhajinagar APMC,160,40,3800,800,480,1600,18000,600,360,25640,160.25,,
From Punjab-Ludhiana-Ludhiana APMC to Gujarat-Navsari-Bilimora APMC,1350,337.5,32062.5,6750,4050,1600,18000,600,1550,64612.5,47.86111111,,
From Karnataka-Kolar-Mulabagilu APMC to Gujarat-Bharuch-Bharuch APMC,1250,312.5,29687.5,6250,3750,1600,18000,600,1450,61337.5,49.07,,
From Karnataka-Kalburgi-Kalburgi APMC to Maharashtra-Kolhapur-Kolhapur APMC,310,77.5,7362.5,1550,930,1600,18000,600,510,30552.5,98.55645161,,
From Maharashtra-Nagpur-Hingna APMC to Maharashtra-Pune-Khed(Chakan) APMC,720,180,17100,3600,2160,1600,18000,600,920,43980,61.08333333,,
From Haryana-Sonipat-Gohana APMC to Rajasthan-Jaipur-Chomu FV APMC,280,70,6650,1400,840,1600,18000,600,480,29570,105.6071429,,
From Uttar Pradesh-Sitapur-Viswan APMC to Uttar Pradesh-Basti-Basti APMC,160,40,3800,800,480,1600,18000,600,360,25640,160.25,,
From Andhra Pradesh-Chittor-Punganur APMC to Punjab-Ludhiana-Ludhiana APMC,2450,612.5,58187.5,12250,7350,1600,18000,600,2650,100637.5,41.07653061,,
From Maharashtra-Chattrapati Sambhajinagar-Chattrapati Sambhajinagar APMC to Karnataka-Shimoga-Shimoga APMC,950,237.5,22562.5,4750,2850,1600,18000,600,1150,51512.5,54.22368421,,
From Uttar Pradesh-Raebarelli-Raibareilly APMC to Uttar Pradesh-Mathura-Kosikalan APMC,520,130,12350,2600,1560,1600,18000,600,720,37430,71.98076923,,
From Uttar Pradesh-Kannuj-Kannauj APMC to Uttar Pradesh-Jaunpur-Jaunpur APMC,330,82.5,7837.5,1650,990,1600,18000,600,530,31207.5,94.56818182,,
From Maharashtra-Pune-Pune APMC to Maharashtra-Sangli-Islampur APMC,190,47.5,4512.5,950,570,1600,18000,600,390,26622.5,140.1184211,,
"From Gujarat-Anand-Anand(Veg,Yard,Anand) APMC to Rajasthan-Udaipur-Udaipur (F&V) APMC",250,62.5,5937.5,1250,750,1600,18000,600,450,28587.5,114.35,,
From Karnataka-Shimoga-Shimoga APMC to Karnataka-Kolar-Chickkaballapura APMC,310,77.5,7362.5,1550,930,1600,18000,600,510,30552.5,98.55645161,,
From Rajasthan-Sikar-Sikar APMC to Haryana-Mahendragarh-Narnaul-Mohindergarh APMC,120,30,2850,600,360,1600,18000,600,320,24330,202.75,,
From Andhra Pradesh-Chittor-Kalikiri APMC to Andhra Pradesh-Chittor-Punganur APMC,100,25,2375,500,300,1600,18000,600,300,23675,236.75,,
From Gujarat-Ahmedabad-Ahmedabad APMC to Gujarat-Morbi-Morbi APMC,200,50,4750,1000,600,1600,18000,600,400,26950,134.75,,
From Gujarat-Navsari-Bilimora APMC to Haryana-Sirsa-Sirsa APMC,1300,325,30875,6500,3900,1600,18000,600,1500,62975,48.44230769,,
From Uttar Pradesh-Kannuj-Kannauj APMC to Uttar Pradesh-Barabanki-Safdarganj APMC,165,41.25,3918.75,825,495,1600,18000,600,365,25803.75,156.3863636,,
From Uttar Pradesh-Raebarelli-Raibareilly APMC to Uttar Pradesh-Varanasi-Varanasi(F&V) APMC,220,55,5225,1100,660,1600,18000,600,420,27605,125.4772727,,
From Maharashtra-Nashik-Nasik APMC to Gujarat-Bharuch-Bharuch APMC,215,53.75,5106.25,1075,645,1600,18000,600,415,27441.25,127.6337209,,
From Karnataka-Shimoga-Shimoga APMC to Maharashtra-Pune-Khed(Chakan) APMC,750,187.5,17812.5,3750,2250,1600,18000,600,950,44962.5,59.95,,
From Uttar Pradesh-Raebarelli-Raibareilly APMC to Uttar Pradesh-Jaunpur-Jaunpur APMC,180,45,4275,900,540,1600,18000,600,380,26295,146.0833333,,
From Maharashtra-Jalgaon-Jalgaon APMC to Maharashtra-Ahmednagar-Ahmednagar APMC,260,65,6175,1300,780,1600,18000,600,460,28915,111.2115385,,
From Maharashtra-Nagpur-Hingna APMC to Maharashtra-Pune-Pune APMC,720,180,17100,3600,2160,1600,18000,600,920,43980,61.08333333,,
From Maharashtra-Pune-Pune(Manjri) APMC to Karnataka-Chikmagalur-Chikkamagalore APMC,880,220,20900,4400,2640,1600,18000,600,1080,49220,55.93181818,,
From Maharashtra-Nashik-Nasik APMC to Maharashtra-Sholapur-Mangal Wedha APMC,450,112.5,10687.5,2250,1350,1600,18000,600,650,35137.5,78.08333333,,
From Maharashtra-Jalgaon-Jalgaon APMC to Gujarat-Bharuch-Bharuch APMC,240,60,5700,1200,720,1600,18000,600,440,28260,117.75,,
From Uttar Pradesh-Jaunpur-Jaunpur APMC to Uttar Pradesh-Basti-Basti APMC,180,45,4275,900,540,1600,18000,600,380,26295,146.0833333,,
From Gujarat-Dahod-Dahod(Veg. Market) APMC to Maharashtra-Satara-Satara APMC,650,162.5,15437.5,3250,1950,1600,18000,600,850,41687.5,64.13461538,,
From Gujarat-Navsari-Bilimora APMC to Punjab-Kapurthala-Phagwara APMC,1350,337.5,32062.5,6750,4050,1600,18000,600,1550,64612.5,47.86111111,,
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Madhya Pradesh-Indore-Indore(F&V) APMC,620,155,14725,3100,1860,1600,18000,600,820,40705,65.65322581,,
From Maharashtra-Ahmednagar-Sangamner APMC to Karnataka-Shimoga-Shimoga APMC,950,237.5,22562.5,4750,2850,1600,18000,600,1150,51512.5,54.22368421,,
From Uttar Pradesh-Auraiya-Auraiya APMC to Uttar Pradesh-Barabanki-Barabanki APMC,205,51.25,4868.75,1025,615,1600,18000,600,405,27113.75,132.2621951,,
From Gujarat-Dahod-Dahod(Veg. Market) APMC to Maharashtra-Pune-Khed(Chakan) APMC,550,137.5,13062.5,2750,1650,1600,18000,600,750,38412.5,69.84090909,,
From Gujarat-Surat-Surat APMC to Gujarat-Navsari-Bilimora APMC,75,18.75,1781.25,375,225,1600,18000,600,275,22856.25,304.75,,
From Gujarat-Rajkot-Rajkot(Veg.Sub Yard) APMC to Gujarat-Morbi-Morbi APMC,70,17.5,1662.5,350,210,1600,18000,600,270,22692.5,324.1785714,,
