"mandi_pair","analysis_grade","consecutive_months","avg_quantity_gap_MT","gross_price_advantage","loss_to_spoilage","net_price_advantage","distance_km","total_transport_cost","profit_per_trip"
"From Andhra Pradesh-Kurnool-Pattikonda APMC to Haryana-Karnal-New Grain Market(main), Karnal APMC",FAQ,3,138.150009346411,38086.2,1904.31,36181.89,2040,68280.0,-32098.11
From Karnataka-Kolar-Kolar APMC to Gujarat-Dahod-Dahod(Veg. Market) APMC,Local,4,591.4580411497105,16137.0,806.85,15330.15,1390,47480.0,-32149.85
From Karnataka-Kolar-Kolar APMC to Maharashtra-Nagpur-Hingna APMC,Local,3,537.139039264592,7853.099999999999,392.655,7460.445,1150,39800.0,-32339.555
From Maharashtra-Nagpur-Nagpur APMC to Haryana-Kurukshetra-Thanesar APMC,Local,4,34.888531067509724,16576.8,828.84,15747.96,1415,48280.0,-32532.04
From Uttar Pradesh-Azamgarh-Azamgarh APMC to Gujarat-Porbandar-Porbandar APMC,FAQ,3,14.896206756206757,30838.800000000003,1541.9400000000003,29296.860000000004,1840,61880.0,-32583.139999999996
From Andhra Pradesh-Chittor-Punganur APMC to Gujarat-Porbandar-Porbandar APMC,FAQ,3,43.22035103785104,31464.3,1573.2150000000001,29891.085,1860,62520.0,-32628.915
From Maharashtra-Nagpur-Nagpur APMC to Karnataka-Chamrajnagar-Gundlupet APMC,Local,3,37.090468213610414,12562.2,628.1100000000001,11934.09,1300,44600.0,-32665.91
From Maharashtra-Pune-Pune APMC to Haryana-Fatehabad-Fatehabad APMC,Local,3,236.9425925925926,22976.4,1148.8200000000002,21827.58,1615,54680.0,-32852.42
From Maharashtra-Amarawati-Amrawati(Frui & Veg. Market) APMC to Haryana-Hissar-Barwala(Hisar) APMC,Local,4,12.962983329519911,17332.5,866.625,16465.875,1450,49400.0,-32934.125
From Gujarat-Ahmedabad-Ahmedabad APMC to Punjab-Ludhiana-Ludhiana APMC,FAQ,3,110.92719310994839,9648.0,482.40000000000003,9165.6,1225,42200.0,-33034.4
From Andhra Pradesh-Kurnool-Pattikonda APMC to Uttar Pradesh-Balrampur-Balrampur APMC,FAQ,3,143.37261890732444,26994.3,1349.7150000000001,25644.585,1740,58680.0,-33035.415
From Maharashtra-Pune-Junnar(Narayangaon) APMC to Haryana-Hissar-Barwala(Hisar) APMC,Local,4,233.60709207161125,17208.3,860.415,16347.884999999998,1450,49400.0,-33052.115000000005
From Andhra Pradesh-Chittor-Punganur APMC to Gujarat-Morbi-Morbi APMC,FAQ,3,51.18438122790099,22574.100000000002,1128.7050000000002,21445.395,1615,54680.0,-33234.604999999996
From Karnataka-Kolar-Chintamani APMC to Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC,Local,6,44.78279294423232,22423.800000000003,1121.1900000000003,21302.610000000004,1615,54680.0,-33377.39
From Haryana-Panipat-Panipat APMC to Gujarat-Bharuch-Bharuch APMC,Local,3,22.028306437872704,7721.1,386.05500000000006,7335.045,1180,40760.0,-33424.955
From Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC to Karnataka-Chamrajnagar-Gundlupet APMC,Local,4,20.23294413919414,20627.100000000002,1031.3550000000002,19595.745000000003,1565,53080.0,-33484.255
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Karnataka-Chikmagalur-Chikkamagalore APMC,Local,5,17.068210989280445,20553.0,1027.65,19525.35,1565,53080.0,-33554.65
From Karnataka-Shimoga-Shimoga APMC to Maharashtra-Amarawati-Amrawati(Frui & Veg. Market) APMC,Local,3,17.3841047979798,9840.9,492.045,9348.855,1250,43000.0,-33651.145000000004
From Andhra Pradesh-Kurnool-Pattikonda APMC to Uttar Pradesh-Gonda-Nawabganj APMC,FAQ,3,144.4276382858435,25305.0,1265.25,24039.75,1710,57720.0,-33680.25
From Andhra Pradesh-Kurnool-Pattikonda APMC to Uttar Pradesh-Gonda-Gonda APMC,FAQ,3,86.00161474531758,31006.5,1550.325,29456.175,1880,63160.0,-33703.825
From Maharashtra-Kolhapur-Kolhapur APMC to Haryana-Kurukshetra-Thanesar APMC,Local,6,13.255361588640726,28636.5,1431.825,27204.675,1810,60920.0,-33715.325
From Gujarat-Porbandar-Porbandar APMC to Punjab-Kapurthala-Phagwara APMC,FAQ,4,8.640266728318101,21987.899999999998,1099.395,20888.504999999997,1615,54680.0,-33791.495
From Uttar Pradesh-Azamgarh-Azamgarh APMC to Gujarat-Morbi-Morbi APMC,FAQ,3,18.08506335282651,21975.899999999998,1098.7949999999998,20877.105,1615,54680.0,-33802.895000000004
From Karnataka-Kolar-Chintamani APMC to Gujarat-Bharuch-Bharuch APMC,Local,4,45.80333796680924,12997.8,649.89,12347.91,1350,46200.0,-33852.09
From Maharashtra-Nagpur-Nagpur APMC to Haryana-Hissar-Barwala(Hisar) APMC,Local,3,39.943663003663005,16098.6,804.9300000000001,15293.67,1450,49400.0,-34106.33
From Maharashtra-Pune-Junnar(Narayangaon) APMC to Haryana-Kurukshetra-Thanesar APMC,Local,4,223.66663154400132,17965.2,898.2600000000001,17066.940000000002,1510,51320.0,-34253.06
"From Gujarat-Anand-Anand(Veg,Yard,Anand) APMC to Karnataka-Chikmagalur-Kadur APMC",Other,3,48.479921470342525,19248.9,962.4450000000002,18286.455,1550,52600.0,-34313.545
From Andhra Pradesh-Chittor-Punganur APMC to Gujarat-Vadodara(Baroda)-Padra APMC,FAQ,3,48.632574059927,17453.1,872.655,16580.445,1510,51320.0,-34739.555
From Maharashtra-Nashik-Nasik APMC to Haryana-Panipat-Panipat APMC,Local,4,65.66719128163172,14414.400000000001,720.7200000000001,13693.680000000002,1420,48440.0,-34746.32
From Maharashtra-Pune-Pune(Manjri) APMC to Haryana-Kurukshetra-Thanesar APMC,Local,5,37.11053942938153,22644.9,1132.2450000000001,21512.655000000002,1665,56280.0,-34767.345
"From Karnataka-Kolar-Chintamani APMC to Gujarat-Gandhinagar-Kalol(Veg,Market,Kalol) APMC",Local,6,54.908933565070306,18697.2,934.8600000000001,17762.34,1550,52600.0,-34837.66
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Karnataka-Bangalore-Ramanagara APMC,Local,6,18.97534560680833,22538.1,1126.905,21411.195,1665,56280.0,-34868.805
From Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC to Karnataka-Bangalore-Ramanagara APMC,Local,3,28.15348086986641,19642.2,982.1100000000001,18660.09,1580,53560.0,-34899.91
From Maharashtra-Pune-Pune APMC to Haryana-Hissar-Hissar APMC,Local,6,205.40751754031854,17244.3,862.215,16382.085,1510,51320.0,-34937.915
From Karnataka-Kolar-Mulabagilu APMC to Gujarat-Bharuch-Bharuch APMC,Local,4,189.52146569136815,10940.4,547.02,10393.38,1330,45560.0,-35166.62
From Maharashtra-Pune-Khed(Chakan) APMC to Haryana-Fatehabad-Fatehabad APMC,Local,3,22.79352657004831,20509.2,1025.46,19483.74,1615,54680.0,-35196.259999999995
From Maharashtra-Pune-Pune(Moshi) APMC to Haryana-Hissar-Barwala(Hisar) APMC,Local,4,58.10781964573269,16942.5,847.125,16095.375,1510,51320.0,-35224.625
From Maharashtra-Pune-Pune(Manjri) APMC to Haryana-Hissar-Hissar APMC,Local,3,38.89012962962963,16907.100000000002,845.3550000000001,16061.745000000003,1510,51320.0,-35258.255
From Karnataka-Kolar-Kolar APMC to Gujarat-Bharuch-Bharuch APMC,Local,4,569.377098650052,11485.800000000001,574.2900000000001,10911.51,1350,46200.0,-35288.49
From Maharashtra-Pune-Khed(Chakan) APMC to Haryana-Hissar-Barwala(Hisar) APMC,Local,4,22.971680383022775,16506.0,825.3000000000001,15680.7,1510,51320.0,-35639.3
From Karnataka-Kolar-Kolar APMC to Madhya Pradesh-Indore-Indore(F&V) APMC,Local,3,446.64082879043184,12752.4,637.62,12114.779999999999,1400,47800.0,-35685.22
From Maharashtra-Pune-Pune APMC to Haryana-Panipat-Panipat APMC,Local,3,183.1653509888804,16763.399999999998,838.17,15925.229999999998,1540,52280.0,-36354.770000000004
From Andhra Pradesh-Kurnool-Pattikonda APMC to Haryana-Sonipat-Sonepat APMC,FAQ,3,137.5765374624009,33209.7,1660.485,31549.214999999997,2030,67960.0,-36410.785
From Maharashtra-Pune-Pune APMC to Haryana-Hissar-Barwala(Hisar) APMC,Local,4,225.0459614753063,15222.9,761.145,14461.755,1500,51000.0,-36538.245
From Uttar Pradesh-Barabanki-Barabanki APMC to Gujarat-Morbi-Morbi APMC,FAQ,4,14.152373158376358,13513.8,675.69,12838.109999999999,1450,49400.0,-36561.89
From Maharashtra-Nashik-Pimpalgaon APMC to Haryana-Panipat-Panipat APMC,Local,4,106.02730790491984,12493.2,624.6600000000001,11868.54,1420,48440.0,-36571.46
From Punjab-Ludhiana-Ludhiana APMC to Gujarat-Navsari-Bilimora APMC,FAQ,3,52.18964313857931,10948.2,547.4100000000001,10400.79,1380,47160.0,-36759.21
From Karnataka-Kolar-Mulabagilu APMC to Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC,Local,5,165.9051032195345,19619.7,980.9850000000001,18638.715,1640,55480.0,-36841.285
From Maharashtra-Pune-Pune(Moshi) APMC to Haryana-Hissar-Hissar APMC,Local,6,45.916369798877405,14733.0,736.6500000000001,13996.35,1500,51000.0,-37003.65
From Andhra Pradesh-Kurnool-Pattikonda APMC to Uttar Pradesh-Auraiya-Auraiya APMC,FAQ,3,137.33730345471523,19718.699999999997,985.935,18732.764999999996,1650,55800.0,-37067.235
"From Karnataka-Kolar-Kolar APMC to Gujarat-Gandhinagar-Kalol(Veg,Market,Kalol) APMC",Local,4,580.1651057183557,16213.2,810.6600000000001,15402.54,1550,52600.0,-37197.46
"From Karnataka-Kolar-Mulabagilu APMC to Gujarat-Gandhinagar-Kalol(Veg,Market,Kalol) APMC",Local,5,180.0122055004136,16544.7,827.2350000000001,15717.465,1560,52920.0,-37202.535
From Karnataka-Kolar-Mulabagilu APMC to Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC,Local,5,166.12921607445693,18365.7,918.2850000000001,17447.415,1615,54680.0,-37232.585
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Karnataka-Chamrajnagar-Gundlupet APMC,Local,6,14.360910017966534,19523.399999999998,976.17,18547.23,1650,55800.0,-37252.770000000004
From Karnataka-Kolar-Mulabagilu APMC to Madhya Pradesh-Indore-Indore(F&V) APMC,Local,3,111.85032759137529,12561.0,628.0500000000001,11932.95,1450,49400.0,-37467.05
From Andhra Pradesh-Kurnool-Pattikonda APMC to Haryana-Faridabad-Ballabhgarh APMC,FAQ,3,150.48647937749632,25073.699999999997,1253.685,23820.014999999996,1840,61880.0,-38059.985
From Rajasthan-Sikar-Sikar APMC to Andhra Pradesh-Chittor-Kalikiri APMC,FAQ,4,21.313443001443,35711.700000000004,1785.5850000000003,33926.115000000005,2160,72120.0,-38193.884999999995
From Haryana-Hissar-Hissar APMC to Maharashtra-Satara-Vai APMC,Local,3,4.168055555555555,14930.7,746.5350000000001,14184.165,1550,52600.0,-38415.835
From Maharashtra-Nagpur-Nagpur APMC to Haryana-Hissar-Hissar APMC,Local,3,33.50572060123785,11508.0,575.4,10932.6,1450,49400.0,-38467.4
From Gujarat-Surat-Surat APMC to Andhra Pradesh-Chittor-Punganur APMC,FAQ,3,296.5797471939038,8611.5,430.57500000000005,8180.925,1365,46680.0,-38499.075
From Uttar Pradesh-Barabanki-Safdarganj APMC to Gujarat-Navsari-Bilimora APMC,FAQ,3,9.582339544513458,11301.6,565.08,10736.52,1450,49400.0,-38663.479999999996
From Gujarat-Surat-Surat APMC to Punjab-Ludhiana-Ludhiana APMC,FAQ,3,355.21461058506196,7918.5,395.925,7522.575,1350,46200.0,-38677.425
From Maharashtra-Pune-Pune(Moshi) APMC to Haryana-Fatehabad-Fatehabad APMC,Local,3,58.91560557149689,16834.8,841.74,15993.06,1615,54680.0,-38686.94
From Maharashtra-Pune-Junnar(Narayangaon) APMC to Haryana-Hissar-Hissar APMC,Local,4,220.45127410798904,11077.8,553.89,10523.91,1450,49400.0,-38876.09
From Andhra Pradesh-Kurnool-Pattikonda APMC to Uttar Pradesh-Mirzapur-Mirzapur APMC,FAQ,3,118.30570976800976,17492.7,874.6350000000001,16618.065000000002,1650,55800.0,-39181.935
From Karnataka-Kolar-Kolar APMC to Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC,Local,3,595.3634287342337,16653.3,832.665,15820.634999999998,1630,55160.0,-39339.365000000005
From Punjab-Jalandhar-Jalandhar City(Jalandhar) APMC to Andhra Pradesh-Chittor-Kalikiri APMC,FAQ,3,28.03096147618206,46521.0,2326.05,44194.95,2520,83640.0,-39445.05
From Gujarat-Rajkot-Rajkot(Veg.Sub Yard) APMC to Punjab-Jalandhar-Jalandhar City(Jalandhar) APMC,FAQ,3,62.28662341674391,9098.7,454.93500000000006,8643.765000000001,1410,48120.0,-39476.235
